,label,area,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,extent,bbox-0,bbox-1,bbox-2,bbox-3
40,41,545.0,27.49902153429013,25.401268389914748,1000.4293577981651,1015.8477064220184,0.3830795559863026,0.7486263736263736,988,1002,1014,1030
41,42,704.0,30.418268078425967,29.575722850676076,1005.7471590909091,644.0184659090909,0.23373083201432415,0.7822222222222223,991,630,1021,660
42,43,415.0,24.878626401841963,21.32891620791014,1009.532530120482,1148.8240963855421,0.5147857147662247,0.7255244755244755,997,1138,1023,1160
43,44,924.0,37.75462316201898,31.41338738772615,1020.7651515151515,1664.5790043290044,0.5547144164791697,0.7333333333333333,1003,1647,1038,1683
44,45,948.0,38.49724456715902,31.516205799801625,1027.9198312236288,933.8196202531645,0.5742765983426827,0.7337461300309598,1011,916,1045,954
45,46,413.0,26.091392524496676,20.374614998762585,1029.3099273607747,1372.5084745762713,0.6246634083426633,0.7481884057971014,1018,1362,1042,1385
46,47,784.0,35.906255478414245,27.9054965734332,1046.8125,1075.4719387755101,0.6292827249389593,0.725925925925926,1029,1061,1065,1091
47,48,227.0,21.866571525825577,13.514417510486856,1042.8678414096917,696.9295154185022,0.7861465928373993,0.6637426900584795,1034,688,1053,706
48,49,922.0,41.22431315856432,28.715619060610003,1060.497830802603,2552.667028199566,0.7174888575140753,0.7683333333333333,1046,2532,1076,2572
49,50,924.0,42.38459200598782,28.423496192564954,1064.5681818181818,2470.9588744588746,0.7418108499506378,0.66,1047,2451,1082,2491
50,51,713.0,40.19135192304762,22.755434892095277,1071.1346423562413,923.1206171107995,0.8242834212529477,0.679047619047619,1053,909,1088,939
51,52,815.0,36.790161060696455,28.298384725816742,1084.5042944785275,634.4895705521473,0.639027971633522,0.7490808823529411,1069,618,1101,652
52,53,477.0,26.121823378657616,23.351616301548926,1080.6352201257862,755.2641509433962,0.44816576862155477,0.795,1069,743,1093,768
53,54,1050.0,43.13318883247329,31.339830319465033,1088.0542857142857,1222.2752380952381,0.6870789830292112,0.8261211644374509,1073,1203,1104,1244
54,55,693.0,33.69643382055509,26.318034883756418,1100.105339105339,522.2222222222222,0.6244894538697834,0.7839366515837104,1084,510,1118,536
55,56,1051.0,39.38654416281022,34.139536239777996,1106.7469077069459,1875.8915318744052,0.4986877390474423,0.8134674922600619,1090,1858,1124,1896
56,57,864.0,38.02462700155265,29.123475848080446,1106.829861111111,2016.039351851852,0.6429467404229907,0.8052190121155638,1093,1997,1122,2034
57,58,1370.0,52.6089175889034,33.28218634181407,1115.4437956204379,1442.8890510948904,0.7744509728201044,0.7527472527472527,1098,1417,1133,1469
58,59,1706.0,50.29651017439966,43.28874710589965,1123.2731535756154,1603.4109026963658,0.5091615169824281,0.7912801484230055,1101,1580,1145,1629
59,60,938.0,38.62516891625076,31.05794051859295,1125.1982942430704,2210.4402985074626,0.5945135950319674,0.748006379585327,1109,2191,1142,2229
60,61,565.0,34.26007801774194,21.14039765049612,1162.8407079646017,999.8176991150442,0.7869189910365432,0.7444005270092227,1146,989,1179,1012
61,62,471.0,25.11586348257789,24.1094402784745,1158.4140127388534,521.0785562632697,0.28024405556168536,0.7246153846153847,1147,509,1173,534
62,63,863.0,36.66767207741986,30.18702159219106,1162.837775202781,2531.928157589803,0.5676647314333768,0.7523975588491717,1148,2513,1179,2550
63,64,661.0,30.77316241152278,27.399134846155793,1166.697428139183,2002.9198184568836,0.4552608360671322,0.7897252090800478,1152,1990,1183,2017
