,Unnamed: 0,label,bbox-0,bbox-1,bbox-2,bbox-3,area,area_bbox,axis_major_length,axis_minor_length,centroid-0,centroid-1,eccentricity,area_convex,perimeter,equivalent_diameter_area,extent,orientation
57,57,58,1573,1239,1612,1278,1036.0,1521.0,44.03713200548,30.228113503797378,1591.6978764478763,1257.7799227799228,0.7272022086600064,1081.0,125.63961030678928,36.319088209172165,0.6811308349769888,-0.7520873220336515
58,58,59,1573,2766,1610,2800,955.0,1258.0,37.98333895736759,32.13462909164136,1590.3151832460733,2782.3863874345548,0.5331526362852413,984.0,115.1543289325507,34.870385217575105,0.7591414944356121,0.5592928695957698
59,59,60,1577,2665,1613,2701,1051.0,1296.0,36.9644651001651,36.30918376176697,1594.383444338725,2682.916270218839,0.1874577428316512,1076.0,118.91168824543142,36.58107108214104,0.8109567901234568,-1.416068265197831
60,60,61,1581,2857,1622,2900,1299.0,1763.0,48.57937839709031,34.20902680045696,1600.958429561201,2877.923787528868,0.7100133292195457,1338.0,136.46803743153546,40.66863863729614,0.7368122518434487,0.8040055751133832
61,61,62,1586,1160,1619,1191,743.0,1023.0,32.99573686165505,29.051535225241825,1601.4064602960968,1174.004037685061,0.4741143160807731,777.0,103.49747468305831,30.757389059187485,0.7262952101661779,-0.4635620080280941
62,62,63,1597,2806,1630,2839,821.0,1089.0,32.891881973113264,31.93450424469536,1612.783191230207,2821.696711327649,0.2395128635340823,852.0,108.32590180780451,32.33155836373447,0.7539026629935721,-0.5083026109295006
63,63,64,1603,1364,1623,1385,314.0,420.0,22.20753038523127,18.07569704354722,1612.2898089171974,1374.1783439490446,0.5809426508140755,330.0,65.11269837220809,19.99492978349364,0.7476190476190476,-0.9405468402205232
64,64,65,1613,2534,1670,2574,1709.0,2280.0,59.32617594117696,37.60780332088155,1641.5465184318314,2553.18080748976,0.7734020258459676,1829.0,172.02438661763952,46.64725481689563,0.749561403508772,0.2210636849735759
65,65,66,1619,1972,1653,2013,1058.0,1394.0,41.360382824936885,32.64274310526326,1635.6294896030245,1992.312854442344,0.6141011927919555,1091.0,121.9827560572969,36.70268979693181,0.7589670014347202,-1.5161306595480026
66,66,67,1623,2277,1671,2327,1877.0,2400.0,49.86922386823555,47.987060337523936,1647.0420884389985,2300.9376664890783,0.2721387767012709,1920.0,160.95331880577402,48.88630304561698,0.7820833333333334,0.9608689854301226
67,67,68,1625,1208,1653,1236,557.0,784.0,27.875384781822877,25.696674099733563,1638.032315978456,1222.0664272890483,0.3875681493357734,583.0,88.66904755831214,26.63070457981699,0.7104591836734694,-0.828165388223203
68,68,69,1636,2358,1653,2376,249.0,306.0,18.77194383519989,17.002334878990816,1644.3614457831325,2366.333333333333,0.4238525992436117,259.0,57.21320343559643,17.805522925178455,0.8137254901960784,-1.3661906811423732
69,69,70,1642,1506,1665,1531,483.0,575.0,26.77606240585113,23.06777272736327,1653.2339544513457,1518.231884057971,0.5077452158864162,499.0,80.87005768508881,24.79868343495444,0.84,-1.191979554507228
70,70,71,1669,2576,1702,2611,958.0,1155.0,36.05341216735884,33.93647705961781,1684.8048016701462,2593.353862212944,0.3376175797683164,984.0,115.0477272147525,34.92511251028815,0.8294372294372294,-1.4848363446975017
71,71,72,1677,1892,1704,1920,570.0,756.0,27.657258985637377,26.31640658065379,1690.0473684210526,1906.0736842105264,0.3075900679380228,590.0,88.42640687119285,26.939683377854365,0.753968253968254,-0.729269370259679
72,72,73,1689,2864,1715,2883,349.0,494.0,26.95620250708424,16.646141261139075,1701.5472779369627,2873.300859598854,0.7865508950235988,369.0,71.94112549695427,21.079862454783044,0.7064777327935222,0.3163974789216185
73,73,74,1690,1482,1710,1508,374.0,520.0,27.029827699516964,17.839683975347025,1699.7860962566845,1495.1764705882354,0.7512656737996768,387.0,72.76955262170048,21.82181453800189,0.7192307692307692,-1.1587877629129335
74,74,75,1691,2477,1741,2527,1845.0,2500.0,48.91835068537186,48.2434421733804,1716.7934959349593,2501.151219512195,0.1655382678913187,1908.0,163.1959594928933,48.46779301800707,0.738,1.1919041346436134
